Wall time,Step,Value
1782284104.5359862,166912,244.22000122070312
1782284113.4769418,168960,244.22000122070312
1782284122.471606,171008,287.6099853515625
1782284140.3024147,175104,316.32000732421875
1782284144.8024054,176128,316.32000732421875
1782284149.2231684,177152,316.32000732421875
1782284162.5023417,180224,316.32000732421875
1782284166.8857183,181248,310.07000732421875
1782284171.55751,182272,310.07000732421875
1782284176.1720397,183296,310.07000732421875
1782284185.2049756,185344,324.6499938964844
1782284189.68782,186368,324.6499938964844
1782284203.104977,189440,324.6499938964844
1782284207.5516396,190464,324.6499938964844
1782284211.925426,191488,324.6499938964844
1782284225.4191039,194560,324.6499938964844
1782284230.0693371,195584,426.2900085449219
1782284234.5520587,196608,426.2900085449219
1782284239.051965,197632,426.2900085449219
1782284252.4181805,200704,426.2900085449219
1782284270.3327537,204800,451.3500061035156
1782284274.8041234,205824,451.3500061035156
1782284283.736913,207872,495.6499938964844
1782284288.2028224,208896,495.6499938964844
1782284292.719359,209920,467.0
1782284297.2175517,210944,467.0
1782284306.2544603,212992,467.0
1782284315.1047235,215040,515.3900146484375
1782284324.1007411,217088,515.3900146484375
1782284332.9863331,219136,551.9000244140625
1782284341.8061748,221184,551.9000244140625
1782284346.252819,222208,570.3900146484375
1782284355.167009,224256,531.4500122070312
1782284359.656196,225280,531.4500122070312
1782284364.0870037,226304,531.4500122070312
1782284368.5004847,227328,531.4500122070312
1782284372.938838,228352,531.4500122070312
1782284381.8006,230400,531.4500122070312
1782284386.2045481,231424,531.4500122070312
1782284404.1201427,235520,531.4500122070312
1782284430.76717,241664,531.4500122070312
1782284439.6013367,243712,531.4500122070312
1782284444.0225098,244736,531.4500122070312
1782284448.4644022,245760,531.4500122070312
1782284457.3362117,247808,497.239990234375
1782284461.79981,248832,502.9200134277344
1782284470.7194993,250880,502.9200134277344
1782284475.1524503,251904,502.9200134277344
1782284479.6363878,252928,502.9200134277344
1782284484.0832124,253952,502.9200134277344
1782284506.1519148,259072,502.9200134277344
1782284510.6199172,260096,502.9200134277344
1782284515.053395,261120,502.9200134277344
1782284528.4371195,264192,513.8599853515625
1782284532.8728395,265216,513.8599853515625
1782284537.365817,266240,513.8599853515625
1782284541.8352485,267264,513.8599853515625
1782284550.7754219,269312,709.8499755859375
1782284586.400447,277504,847.4500122070312
1782284590.8200145,278528,847.4500122070312
1782284604.050013,281600,779.8300170898438
1782284608.4513793,282624,779.8300170898438
1782284612.9016497,283648,779.8300170898438
1782284621.7709942,285696,758.4299926757812
1782284630.7518456,287744,758.9000244140625
1782284639.6679103,289792,741.1099853515625
1782284644.1522431,290816,741.1099853515625
1782284653.1169543,292864,741.1099853515625
1782284661.987207,294912,741.1099853515625
1782284666.4817388,295936,741.1099853515625
1782284675.4508307,297984,741.1099853515625
1782284697.632199,303104,741.1099853515625
1782284702.0820005,304128,741.1099853515625
1782284706.5154793,305152,815.9099731445312
1782284710.9662335,306176,751.4400024414062
1782284715.433821,307200,751.4400024414062
1782284737.6680977,312320,751.4400024414062
1782284746.6827168,314368,751.4400024414062
1782284751.1170185,315392,751.4400024414062
1782284755.565805,316416,751.4400024414062
1782284759.966535,317440,751.4400024414062
1782284773.2814567,320512,751.4400024414062
1782284777.7150438,321536,751.4400024414062
1782284791.3999724,324608,751.4400024414062
1782284800.3396916,326656,751.4400024414062
1782284804.7366283,327680,751.4400024414062
1782284818.0370004,330752,751.4400024414062
1782284826.8680787,332800,783.6400146484375
1782284849.0215364,337920,783.6400146484375
1782284853.4140723,338944,783.6400146484375
1782284857.7970407,339968,783.6400146484375
1782284862.1657708,340992,783.6400146484375
1782284884.369086,346112,783.6400146484375
1782284888.7568953,347136,783.6400146484375
1782284897.500916,349184,783.6400146484375
1782284910.8721397,352256,946.5999755859375
1782284915.30184,353280,946.5999755859375
1782284919.73135,354304,1038.3800048828125
1782284924.150946,355328,1038.3800048828125
1782284933.134155,357376,1038.3800048828125
